ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
C. OTOMIES,PEDREGAL DE LAS AGUILAS,TLALPAN,CON BOTON,CON ALTAVOZ,-99.173805,19.27173,"19.27173,-99.173805",9m,WIFI GRATUITO_ACTIVO,SI
C. GRAL. PORFIRIO DIAZ,AMPL. CARACOL,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.068757,19.428772,"19.428772,-99.068757",9m,REPORTE DE FALLA,SI
ORFEBRERIA,AMPLIACION MICHOACAN,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.114934,19.449703,"19.449703,-99.114934",9m,WIFI GRATUITO_ACTIVO,SI
C. 69,PUEBLA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.082913,19.409431,"19.409431,-99.082913",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE RT. 30 ROBELO Y C. CECILIO ROBELO,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.105744,19.422291,"19.422291,-99.105744",9m,WIFI GRATUITO_ACTIVO,SI
C. JERICO,ROMERO RUBIO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.096823,19.442388,"19.442388,-99.096823",9m,WIFI GRATUITO_ACTIVO,SI
C-. DAMASCO,ROMERO RUBIO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.097809,19.443231,"19.443231,-99.097809",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE RT. 5 DE CECILIO ROBELO Y RT. 7 DE CECILIO ROBELO,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.112912,19.422618,"19.422618,-99.112912",9m,WIFI GRATUITO_ACTIVO,SI
RT. 8 LAZARO PAVIA,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.114163,19.416116,"19.416116,-99.114163",9m,WIFI GRATUITO_ACTIVO,SI
C. SUPREMA CORTE DE JUSTICIA,FEDERAL,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.086348,19.420275,"19.420275,-99.086348",9m,WIFI GRATUITO_ACTIVO,SI
C. CARLOS MARX,SIMON BOLIVAR,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.099258,19.447634,"19.447634,-99.099258",9m,WIFI GRATUITO_ACTIVO,SI
RT. 51 CECILIO ROBELO,JARDIN BALBUENA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.101577,19.419366,"19.419366,-99.101577",9m,WIFI GRATUITO_ACTIVO,SI
C. 73,PUEBLA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.082008,19.408984,"19.408984,-99.082008",9m,WIFI GRATUITO_ACTIVO,SI
C. XALTOCAN,EL ARENAL 3RA. SECC.,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.058407,19.426558,"19.426558,-99.058407",9m,WIFI GRATUITO_ACTIVO,SI
C. CHIMALPOPOCA,EL ARENAL 2DA. SECC.,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.059111,19.426349,"19.426349,-99.059111",9m,WIFI GRATUITO_ACTIVO,SI
C. 24 DE NOVIEMBRE (24 DE ABRIL),AMPL. 20 DE NOVIEMBRE,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.114401,19.44252,"19.44252,-99.114401",9m,WIFI GRATUITO_ACTIVO,SI
C. FRANCISCO ESPEJEL,MOCTEZUMA 1a. SECC.,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.109336,19.431937,"19.431937,-99.109336",9m,WIFI GRATUITO_ACTIVO,SI
C. MARRUECOS,ROMERO RUBIO,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.099162,19.443431,"19.443431,-99.099162",9m,WIFI GRATUITO_ACTIVO,SI
C. EMILIANO ZAPATA,SAN JUAN MOYOTEPEC,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.064419,19.257395,"19.257395,-99.064419",9m,WIFI GRATUITO_ACTIVO,SI
C. SELVA,BARRIO SAN PEDRO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.105637,19.256188,"19.256188,-99.105637",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. CAMPO DEPORTIVO Y C. DEL PANTEON,PUEBLO SANTA CRUZ XOCHITEPEC,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.129585,19.253638,"19.253638,-99.129585",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE 1RA. CDA. PALMERIN Y 3RA. CDA. PALMERIN,DEL CARMEN,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.030813,19.249315,"19.249315,-99.030813",9m,WIFI GRATUITO_ACTIVO,SI
