ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
C. DOLORES,CENTRO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.142704,19.434374,"19.434374,-99.142704",9m,WIFI GRATUITO_ACTIVO,SI
C. LOPEZ,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.14188,19.434242,"19.434242,-99.14188",9m,WIFI GRATUITO_ACTIVO,SI
C. DOLORES,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.142696,19.433091,"19.433091,-99.142696",9m,WIFI GRATUITO_ACTIVO,SI
C. LORETO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.127634,19.434369,"19.434369,-99.127634",9m,WIFI GRATUITO_ACTIVO,SI
EJE 1 PTE. CALZ. VALLEJO,PORVENIR,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.14477,19.469535,"19.469535,-99.14477",9m,WIFI GRATUITO_ACTIVO,SI
C. RIO DE LA LAJA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.159368,19.548879,"19.548879,-99.159368",9m,WIFI GRATUITO_ACTIVO,SI
C. BAJADA DEL CERRITO,COCOYOTES,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,-99.133984,19.548495,"19.548495,-99.133984",9m,WIFI GRATUITO_ACTIVO,SI
C. LA FAMA,BARRIO LA FAMA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.177819,19.289396,"19.289396,-99.177819",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CDA. RIO NILO Y AV. DE LAS TORRES,LOMAS DE SAN LORENZO,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,-99.065136,19.325193,"19.325193,-99.065136",9m,WIFI GRATUITO_ACTIVO,SI
AV. HOSPITAL BENITO JUAREZ,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.137419,19.480917,"19.480917,-99.137419",9m,WIFI GRATUITO_ACTIVO,SI
AV. ETEN,LINDAVISTA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.13841,19.491938,"19.491938,-99.13841",9m,WIFI GRATUITO_ACTIVO,SI
C. MORELOS,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.149421,19.551242,"19.551242,-99.149421",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. YUCATAN Y C. SONORA,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.147554,19.554919,"19.554919,-99.147554",9m,WIFI GRATUITO_ACTIVO,SI
C. ISABEL RODRIGUEZ ALDERETE,U.H SN JUAN DE ARAGON 7A SEC.,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.075953,19.476693,"19.476693,-99.075953",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. BALDERAS Y 2DA. CALLE DE REVILLAGIGEDO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.14669,19.432782,"19.432782,-99.14669",9m,WIFI GRATUITO_ACTIVO,SI
AV. HENRY FORD,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.122196,19.471477,"19.471477,-99.122196",9m,WIFI GRATUITO_ACTIVO,SI
EJE 1 ORIENTE F. C HIDALGO,ARAGÓN LA VILLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.109968,19.477943,"19.477943,-99.109968",9m,WIFI GRATUITO_ACTIVO,SI
AV. INSURGENTES SUR,GUADALUPE INN,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.184849,19.355981,"19.355981,-99.184849",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. JUVENTINO ROSAS Y C. FRANCIA,FLORIDA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.184096,19.35744,"19.35744,-99.184096",9m,WIFI GRATUITO_ACTIVO,SI
AV. OTHON DE MENDIZABAL PTE.,VALLEJO UNIDAD LA PATERA,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,-99.150997,19.504304,"19.504304,-99.150997",9m,WIFI GRATUITO_ACTIVO,SI
C. ITZCOATL,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.115095,19.495577,"19.495577,-99.115095",9m,WIFI GRATUITO_ACTIVO,SI
C. BARAJAS,U.H LA PRADERA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.063398,19.471329,"19.471329,-99.063398",9m,WIFI GRATUITO_ACTIVO,SI
AV. RIO SANTO DOMINGO,MOLINO DE SANTO DOMINGO,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,-99.209462,19.395326,"19.395326,-99.209462",9m,WIFI GRATUITO_ACTIVO,SI
C. ANTIGUA VIA LA VENTA,ISIDRO FABELA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.209,19.385736,"19.385736,-99.209",9m,WIFI GRATUITO_ACTIVO,SI
AV. JAVIER BARROS SIERRA,PUEBLO DE SANTA FE,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.261982,19.361811,"19.361811,-99.261982",9m,REPORTE DE FALLA,NO
C. RIO TACUBAYA,2da AMPL. LA MEXICANA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.231552,19.37965,"19.37965,-99.231552",9m,WIFI GRATUITO_ACTIVO,SI
C. PARROQUIA,AMPL. TLACOYAQUE,ALVARO OBREGON,SIN BOTON,CON ALTAVOZ,-99.266557,19.318284,"19.318284,-99.266557",9m,WIFI GRATUITO_ACTIVO,SI
C. PONIENTE 134,INDUSTRIAL VALLEJO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.170941,19.495962,"19.495962,-99.170941",9m,WIFI GRATUITO_ACTIVO,SI
AV. DE LAS GRANJAS,JARDIN AZPEITIA,AZCAPOTZALCO,SIN BOTON,CON ALTAVOZ,-99.175788,19.470923,"19.470923,-99.175788",9m,WIFI GRATUITO_ACTIVO,SI
EJE 2 NORTE MANUEL GONZALEZ,U.H. NONOALCO TLATELOLCO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.133668,19.450719,"19.450719,-99.133668",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE EJE 1 ORIENTE GUERRERO Y C. HEROES,GUERRERO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.14773,19.439841,"19.439841,-99.14773",9m,WIFI GRATUITO_ACTIVO,SI
C. JALAPA,ROMA SUR,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.160048,19.408023,"19.408023,-99.160048",9m,WIFI GRATUITO_ACTIVO,SI
CDA. EJIDO,PUEBLO SANTIAGO ATZACOALCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.093918,19.499682,"19.499682,-99.093918",9m,WIFI GRATUITO_ACTIVO,SI
HUEHUECALOTL,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.118158,19.491839,"19.491839,-99.118158",9m,WIFI GRATUITO_ACTIVO,SI
C. CUAUHTEMOC,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.116509,19.499019,"19.499019,-99.116509",9m,WIFI GRATUITO_ACTIVO,SI
C. FERRERIA,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,-99.123175,19.482346,"19.482346,-99.123175",9m,WIFI GRATUITO_ACTIVO,SI
C. PINOS,SAN JERONIMO LIDICE,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.213756,19.333113,"19.333113,-99.213756",9m,WIFI GRATUITO_ACTIVO,SI
C. MIGUEL GARCIA GARCIA,CAMPAMENTO 2 DE OCTUBRE,IZTACALCO,CON BOTON,CON ALTAVOZ,-99.113318,19.38532,"19.38532,-99.113318",9m,WIFI GRATUITO_ACTIVO,SI
PRIV. SANCHEZ,SAN ANDRES TETEPILCO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,-99.1275,19.371867,"19.371867,-99.1275",9m,WIFI GRATUITO_ACTIVO,SI
RETORNO 301 CALZADA DE LA VIGA,UNIDAD MODELO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,-99.123733,19.363542,"19.363542,-99.123733",9m,WIFI GRATUITO_ACTIVO,SI
C. TTE. HECTOR ESPINOZA GALVAN,ESCUADRON 201,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,-99.112418,19.36494,"19.36494,-99.112418",9m,WIFI GRATUITO_ACTIVO,SI
C. ORIENTE 229,C.H. REAL DEL MORAL,IZTAPALAPA,CON BOTON,CON ALTAVOZ,-99.081948,19.391457,"19.391457,-99.081948",9m,WIFI GRATUITO_ACTIVO,SI
C. GRAL. ANTONIO CARDENAS RODRIGUEZ,MEXICALTZINGO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,-99.115236,19.358892,"19.358892,-99.115236",9m,WIFI GRATUITO_ACTIVO,SI
C. TTE. FAUSTO VEGA SANTANDER,ESCUADRON 201,IZTAPALAPA,CON BOTON,SIN ALTAVOZ,-99.112396,19.363064,"19.363064,-99.112396",9m,WIFI GRATUITO_ACTIVO,SI
C. VERACRUZ,JARDINES DE CHURUBUSCO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,-99.104552,19.3753,"19.3753,-99.104552",9m,WIFI GRATUITO_ACTIVO,SI
C. MILITARES,SAN JOSE ACULCO,IZTAPALAPA,CON BOTON,CON ALTAVOZ,-99.100488,19.37395,"19.37395,-99.100488",9m,WIFI GRATUITO_ACTIVO,SI
C. JACARANDAS,EL TORO,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.248303,19.313648,"19.313648,-99.248303",9m,WIFI GRATUITO_ACTIVO,SI
AV. SAN BERNABE,BARROS SIERRA,MAGDALENA CONTRERAS,CON BOTON,CON ALTAVOZ,-99.247519,19.317553,"19.317553,-99.247519",9m,WIFI GRATUITO_ACTIVO,SI
C. OYAMEL,AMPL. LOMAS SAN BERNABE,MAGDALENA CONTRERAS,CON BOTON,SIN ALTAVOZ,-99.265782,19.306792,"19.306792,-99.265782",9m,WIFI GRATUITO_ACTIVO,SI
AV. CONSTITUYENTES,BOSQUE DE CHAPULTEPEC 2A. SECC.,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,-99.198082,19.411963,"19.411963,-99.198082",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CALZ. CHIVATITO Y CALZ. MAHATMA GHANDI,BOSQUE DE CHAPULTEPEC 1A SECC.,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,-99.181838,19.424306,"19.424306,-99.181838",9m,WIFI GRATUITO_ACTIVO,SI
C. AGRICULTURA,ESCANDON,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,-99.176665,19.403693,"19.403693,-99.176665",9m,WIFI GRATUITO_ACTIVO,SI
C. VALLE ALPINO,SELENE 1ra. SECC.,TLAHUAC,CON BOTON,SIN ALTAVOZ,-99.002146,19.29468,"19.29468,-99.002146",9m,WIFI GRATUITO_ACTIVO,SI
C. REFORMA LABORAL,LA CEBADA SAN LORENZO,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.117259,19.282936,"19.282936,-99.117259",9m,WIFI GRATUITO_ACTIVO,SI
PERIFERICO SUR,BARRIO 18,XOCHIMILCO,CON BOTON,CON ALTAVOZ,-99.102072,19.290318,"19.290318,-99.102072",9m,WIFI GRATUITO_ACTIVO,SI
CARRETERA FED. A CUERNAVACA,SAN ANDRES TOTOLTEPEC,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.170829,19.245781,"19.245781,-99.170829",9m,WIFI GRATUITO_ACTIVO,SI
C. INDEPENDENCIA,TLALPAN,TLALPAN,CON BOTON,CON ALTAVOZ,-99.17854,19.294211,"19.294211,-99.17854",9m,WIFI GRATUITO_ACTIVO,SI
2do. AND. P. PALMEADA,AMPL. ISIDRO FABELA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.169688,19.298474,"19.298474,-99.169688",9m,WIFI GRATUITO_ACTIVO,SI
CALZADA ACUEDUCTO,SAN LORENZO HUIPULCO,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.150064,19.291914,"19.291914,-99.150064",9m,WIFI GRATUITO_ACTIVO,SI
C. CAPORAL,U. H. NARCISO MENDOZA,TLALPAN,CON BOTON,CON ALTAVOZ,-99.125914,19.291502,"19.291502,-99.125914",9m,WIFI GRATUITO_ACTIVO,SI
C. FUENTES BELLAS,FUENTES DE TEPEPAN,TLALPAN,CON BOTON,CON ALTAVOZ,-99.147763,19.269196,"19.269196,-99.147763",9m,WIFI GRATUITO_ACTIVO,SI
C. TIZAYUCA,MICHOACANA,VENUSTIANO CARRANZA,CON BOTON,CON ALTAVOZ,-99.113692,19.445757,"19.445757,-99.113692",9m,WIFI GRATUITO_ACTIVO,SI
PONIENTE 122,BARRIO SANTA CRUZ DE LAS SALINAS,AZCAPOTZALCO,SIN BOTON,CON ALTAVOZ,-99.150664,19.485433,"19.485433,-99.150664",9m,WIFI GRATUITO_ACTIVO,SI
INFORME DE GOBIERNO,LA CONCHITA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.207394,19.391904,"19.391904,-99.207394",9m,WIFI GRATUITO_ACTIVO,SI
C. HALCON,BELLAVISTA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.194026,19.397513,"19.397513,-99.194026",9m,WIFI GRATUITO_ACTIVO,SI
C. BOLIVIANOS,MARIA DE GARCIA RUIZ,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.211438,19.387548,"19.387548,-99.211438",9m,WIFI GRATUITO_ACTIVO,SI
C. HOLANDESES,PARAISO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.212569,19.38872,"19.38872,-99.212569",9m,WIFI GRATUITO_ACTIVO,SI
AV. BENITO JUAREZ,BARRIO NORTE,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.209376,19.378819,"19.378819,-99.209376",9m,WIFI GRATUITO_ACTIVO,SI
AV. HIDALGO,OLIVAR DEL CONDE 2da SECC.,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.219804,19.371101,"19.371101,-99.219804",9m,WIFI GRATUITO_ACTIVO,SI
C. GOLONDRINA VIAJERA,LAS GOLONDRINAS 1RA SECCION,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.210105,19.38036,"19.38036,-99.210105",9m,WIFI GRATUITO_ACTIVO,SI
C. RAYON,PUEBLO SANTA LUCIA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.253902,19.358651,"19.358651,-99.253902",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. VASCO DE QUIROGA Y C. DE LA GOLETA,AMPL. LA MEXICANA,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.228759,19.384178,"19.384178,-99.228759",9m,WIFI GRATUITO_ACTIVO,SI
C. HACIENDA DE LA GAVIA,AMPL. PRESIDENTES 2a. SECC.,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.229648,19.3727,"19.3727,-99.229648",9m,WIFI GRATUITO_ACTIVO,SI
C. ALVARO OBREGON,PRESIDENTES,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.22223,19.377732,"19.377732,-99.22223",9m,WIFI GRATUITO_ACTIVO,SI
C. 7,OLIVAR DEL CONDE 1ra SECC.,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.206204,19.372931,"19.372931,-99.206204",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. TORRES Y AV. ROSAS,TORRES DE POTRERO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.249014,19.332478,"19.332478,-99.249014",9m,WIFI GRATUITO_ACTIVO,SI
CAMINO AL DESIERTO DE LOS LEONES,PUEBLO SANTA ROSA XOCHIAC (SAN BARTOLO AMEYALCO),ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.281704,19.328618,"19.328618,-99.281704",9m,WIFI GRATUITO_ACTIVO,SI
C. DEL TRABAJO,LOMAS DE LOS CEDROS,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.259463,19.32457,"19.32457,-99.259463",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. TOLUCA Y C. SALVATIERRA,OLIVAR DE LOS PADRES,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.207421,19.341699,"19.341699,-99.207421",9m,WIFI GRATUITO_ACTIVO,SI
C. FRANCISCO I  MADERO,TLACOPAC,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.193537,19.354751,"19.354751,-99.193537",9m,WIFI GRATUITO_ACTIVO,SI
C. CAMPAMENTO,BARRIO LORETO,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.194515,19.34022,"19.34022,-99.194515",9m,WIFI GRATUITO_ACTIVO,SI
C. CAÑADA,JARDINES DEL PEDREGAL,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.202875,19.324497,"19.324497,-99.202875",9m,WIFI GRATUITO_ACTIVO,SI
C. OSA MAYOR,U. HAB. EL ROSARIO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.207916,19.506636,"19.506636,-99.207916",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE PONIENTE 122 Y PONIENTE 116,MONTE ALTO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.16098,19.487486,"19.487486,-99.16098",9m,WIFI GRATUITO_ACTIVO,SI
C. PONIENTE 116,U. H. JARDINES DE CEYLAN,AZCAPOTZALCO,SIN BOTON,CON ALTAVOZ,-99.161705,19.484628,"19.484628,-99.161705",9m,WIFI GRATUITO_ACTIVO,SI
CAMPO ACALAPA,REYNOSA TAMAULIPAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.188315,19.492978,"19.492978,-99.188315",9m,WIFI GRATUITO_ACTIVO,SI
EJE 5 NORTE PONIENTE 140,INDUSTRIAL VALLEJO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.164815,19.497388,"19.497388,-99.164815",9m,WIFI GRATUITO_ACTIVO,SI
C. SALONICA,CLAVERIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.181322,19.469834,"19.469834,-99.181322",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. CLAVERIA Y C. NILO,CLAVERIA,AZCAPOTZALCO,SIN BOTON,CON ALTAVOZ,-99.179315,19.465565,"19.465565,-99.179315",9m,WIFI GRATUITO_ACTIVO,SI
C. POLO NORTE,BARRIO NEXTENGO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.189171,19.471282,"19.471282,-99.189171",9m,WIFI GRATUITO_ACTIVO,SI
C. NILO,CLAVERIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.179616,19.46703,"19.46703,-99.179616",9m,WIFI GRATUITO_ACTIVO,SI
AV. CAMPO CHILAPILLA,PROVIDENCIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.208374,19.479526,"19.479526,-99.208374",9m,WIFI GRATUITO_ACTIVO,SI
C. TRIQUIS,TEZOZOMOC,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.199312,19.491049,"19.491049,-99.199312",9m,WIFI GRATUITO_ACTIVO,SI
AV. SAN ISIDRO,PETROLERA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.200785,19.483173,"19.483173,-99.200785",9m,WIFI GRATUITO_ACTIVO,SI
C. MARISCAL ROMMEL,PROVIDENCIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.20846,19.491168,"19.491168,-99.20846",9m,WIFI GRATUITO_ACTIVO,SI
C. SANTO DOMINGO,INDUSTRIAL SAN ANTONIO,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.19358,19.481321,"19.481321,-99.19358",9m,WIFI GRATUITO_ACTIVO,SI
C. SANTA LUCIA,PUEBLO SAN MIGUEL AMANTLA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.205066,19.472442,"19.472442,-99.205066",9m,WIFI GRATUITO_ACTIVO,SI
CDA. DE CECATI,BARRIO SANTO TOMAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.175878,19.487263,"19.487263,-99.175878",9m,WIFI GRATUITO_ACTIVO,SI
C. NORTE 89,SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.179322,19.476065,"19.476065,-99.179322",9m,WIFI GRATUITO_ACTIVO,SI
AV. CEYLAN,FERRERIA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.174175,19.503918,"19.503918,-99.174175",9m,WIFI GRATUITO_ACTIVO,SI
C. ALEUTIANAS,COSMOPOLITA,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.162118,19.474791,"19.474791,-99.162118",9m,WIFI GRATUITO_ACTIVO,SI
C.NORTE 35 Y C.NORTE 45,INDUSTRIAL VALLEJO(MONTE ALTO),AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.157618,19.486769,"19.486769,-99.157618",9m,WIFI GRATUITO_ACTIVO,SI
CDA. JORULLO,DEL GAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.157253,19.469673,"19.469673,-99.157253",9m,WIFI GRATUITO_ACTIVO,SI
C. 19,PRO HOGAR,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.150546,19.474873,"19.474873,-99.150546",9m,WIFI GRATUITO_ACTIVO,SI
AV. SAN FRANCISCO XOCOTITLA,DEL GAS,AZCAPOTZALCO,CON BOTON,CON ALTAVOZ,-99.158463,19.469934,"19.469934,-99.158463",9m,WIFI GRATUITO_ACTIVO,SI
C. INDIANA,CIUDAD DE LOS DEPORTES,BENITO JUAREZ,SIN BOTON,SIN ALTAVOZ,-99.178338,19.38538,"19.38538,-99.178338",9m,WIFI GRATUITO_ACTIVO,SI
C. CAMPANA,INSURGENTES MIXCOAC,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.184432,19.372378,"19.372378,-99.184432",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE EJE 6 SUR ANGEL URRAZA Y C. MATIAS ROMERO,DEL VALLE,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.168093,19.383034,"19.383034,-99.168093",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE EJE 7 SUR FELIX CUEVAS (LA EXTREMADURA) Y AV. SAN LORENZO,DEL VALLE SUR,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.17008,19.37234,"19.37234,-99.17008",9m,WIFI GRATUITO_ACTIVO,SI
EJE 6 SUR ANGEL URRAZA,INDEPENDENCIA,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.151305,19.379709,"19.379709,-99.151305",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. PIRINEOS Y EJE 8 SUR AV. POPOCATEPETL,PORTALES SUR,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.148107,19.361652,"19.361652,-99.148107",9m,WIFI GRATUITO_ACTIVO,SI
EJE 7 SUR GRAL. EMILIANO ZAPATA,PORTALES SUR,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.146699,19.364871,"19.364871,-99.146699",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. SAN FELIPE Y AV. MEXICO COYOACAN,XOCO,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.165906,19.36014,"19.36014,-99.165906",9m,WIFI GRATUITO_ACTIVO,SI
AV. DE LAS AMERICAS,MODERNA,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.134936,19.392942,"19.392942,-99.134936",9m,WIFI GRATUITO_ACTIVO,SI
C. ELISA,NATIVITAS,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.138267,19.382644,"19.382644,-99.138267",9m,WIFI GRATUITO_ACTIVO,SI
C. MIGUEL ANGEL,MODERNA,BENITO JUAREZ,CON BOTON,CON ALTAVOZ,-99.135711,19.393448,"19.393448,-99.135711",9m,WIFI GRATUITO_ACTIVO,SI
OSA MAYOR,PRADOS CHURUBUSCO,COYOACAN,CON BOTON,CON ALTAVOZ,-99.129079,19.355347,"19.355347,-99.129079",9m,WIFI GRATUITO_ACTIVO,SI
RETORNO 19,AVANTE,COYOACAN,CON BOTON,CON ALTAVOZ,-99.135615,19.332601,"19.332601,-99.135615",9m,WIFI GRATUITO_ACTIVO,SI
C. CERRO BOLUDO,CAMPESTRE CHURUBUSCO,COYOACAN,CON BOTON,CON ALTAVOZ,-99.13278,19.343933,"19.343933,-99.13278",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE RETORNO 39 Y RETORNO 34,AVANTE,COYOACAN,CON BOTON,CON ALTAVOZ,-99.131151,19.328037,"19.328037,-99.131151",9m,WIFI GRATUITO_ACTIVO,SI
C. VALENTINA,CARMEN SERDAN,COYOACAN,CON BOTON,CON ALTAVOZ,-99.107472,19.319673,"19.319673,-99.107472",9m,WIFI GRATUITO_ACTIVO,SI
C. WAGNER,EX HIPODROMO DE PERALVILLO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.131867,19.456303,"19.456303,-99.131867",9m,WIFI GRATUITO_ACTIVO,SI
C. FELIPE VILLANUEVA,PERALVILLO,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.127665,19.461273,"19.461273,-99.127665",9m,WIFI GRATUITO_ACTIVO,SI
C. ERNESTO ELORDUY,PERALVILLO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.138795,19.462338,"19.462338,-99.138795",9m,WIFI GRATUITO_ACTIVO,SI
C. MINA,BUENAVISTA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.149847,19.440912,"19.440912,-99.149847",9m,WIFI GRATUITO_ACTIVO,SI
CALZ. GRAL. IGNACIO ZARAGOZA,BUENAVISTA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.148049,19.449157,"19.449157,-99.148049",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. STA. MA. LA RIBERA Y C. JAIME TORRES BODET,SANTA MARIA LA RIBERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.157932,19.444159,"19.444159,-99.157932",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE C. SALVADOR DIAZ MIRON Y EJE 1 NTE. JOSE ANTONIO ALZATE,SANTA MARIA LA RIBERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.1578,19.447997,"19.447997,-99.1578",9m,WIFI GRATUITO_ACTIVO,SI
2DO. CJON. DE MESONES,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.131158,19.428019,"19.428019,-99.131158",9m,WIFI GRATUITO_ACTIVO,SI
C. ALDACO,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.140079,19.427491,"19.427491,-99.140079",9m,WIFI GRATUITO_ACTIVO,SI
C. TRESGUERRAS,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.150901,19.429567,"19.429567,-99.150901",9m,WIFI GRATUITO_ACTIVO,SI
C. ALVA IXTLIXOCHITL,OBRERA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.136054,19.419643,"19.419643,-99.136054",9m,WIFI GRATUITO_ACTIVO,SI
